_id,shana,hodesh,train_station_nm,station_status_nm,status_count
1,2015,1,אשדוד עד הלום,איחור,33
2,2015,1,אשדוד עד הלום,בזמן,1625
3,2015,1,אשדוד עד הלום,הקדמה ביציאה,17
4,2015,1,אשקלון,איחור,34
5,2015,1,אשקלון,בזמן,1873
6,2015,1,אשקלון,הקדמה ביציאה,7
7,2015,1,באר יעקב,איחור,25
8,2015,1,באר יעקב,בזמן,1078
9,2015,1,באר יעקב,הקדמה ביציאה,42
10,2015,1,באר שבע מרכז,איחור,62
11,2015,1,באר שבע מרכז,בזמן,1088
12,2015,1,באר שבע מרכז,הקדמה ביציאה,1
13,2015,1,באר שבע צפון,איחור,65
14,2015,1,באר שבע צפון,בזמן,1188
15,2015,1,באר שבע צפון,הקדמה ביציאה,21
16,2015,1,בית יהושע,איחור,74
17,2015,1,בית יהושע,בזמן,1854
18,2015,1,בית יהושע,הקדמה ביציאה,50
19,2015,1,בית שמש,איחור,64
20,2015,1,בית שמש,בזמן,375
21,2015,1,בית שמש,הקדמה ביציאה,19
22,2015,1,בני ברק,איחור,17
23,2015,1,בני ברק,בזמן,1482
24,2015,1,בני ברק,הקדמה ביציאה,103
25,2015,1,בנימינה,איחור,165
26,2015,1,בנימינה,בזמן,2164
27,2015,1,בנימינה,הקדמה ביציאה,329
28,2015,1,בת גלים,איחור,162
29,2015,1,בת גלים,בזמן,3058
30,2015,1,בת גלים,הקדמה ביציאה,263
31,2015,1,בת ים יוספטל,איחור,22
32,2015,1,בת ים יוספטל,בזמן,977
33,2015,1,בת ים יוספטל,הקדמה ביציאה,61
34,2015,1,בת ים קוממיות,איחור,20
35,2015,1,בת ים קוממיות,בזמן,1133
36,2015,1,בת ים קוממיות,הקדמה ביציאה,11
37,2015,1,דימונה,איחור,7
38,2015,1,דימונה,בזמן,118
39,2015,1,הוד השרון,איחור,16
40,2015,1,הוד השרון,בזמן,1146
41,2015,1,הוד השרון,הקדמה ביציאה,2
42,2015,1,הרצליה,איחור,132
43,2015,1,הרצליה,בזמן,2337
44,2015,1,הרצליה,הקדמה ביציאה,133
45,2015,1,השלום,איחור,311
46,2015,1,השלום,בזמן,6221
47,2015,1,השלום,הקדמה ביציאה,332
48,2015,1,חדרה מערב,איחור,75
49,2015,1,חדרה מערב,בזמן,1175
50,2015,1,חדרה מערב,הקדמה ביציאה,169
51,2015,1,חולון וולפסון,איחור,21
52,2015,1,חולון וולפסון,בזמן,1216
53,2015,1,חולון וולפסון,הקדמה ביציאה,5
54,2015,1,חוף הכרמל,איחור,186
55,2015,1,חוף הכרמל,בזמן,3097
56,2015,1,חוף הכרמל,הקדמה ביציאה,316
57,2015,1,חוצות מפרץ,איחור,48
58,2015,1,חוצות מפרץ,בזמן,1140
59,2015,1,חוצות מפרץ,הקדמה ביציאה,88
60,2015,1,חיפה מרכז,איחור,176
61,2015,1,חיפה מרכז,בזמן,3221
62,2015,1,חיפה מרכז,הקדמה ביציאה,305
63,2015,1,יבנה מזרח,איחור,16
64,2015,1,יבנה מזרח,בזמן,340
65,2015,1,יבנה מזרח,הקדמה ביציאה,254
66,2015,1,יבנה מערב,איחור,14
67,2015,1,יבנה מערב,בזמן,945
68,2015,1,יבנה מערב,הקדמה ביציאה,14
69,2015,1,כפר חבד,איחור,18
70,2015,1,כפר חבד,בזמן,731
71,2015,1,כפר חבד,הקדמה ביציאה,6
72,2015,1,כפר סבא,איחור,24
73,2015,1,כפר סבא,בזמן,1598
74,2015,1,כפר סבא,הקדמה ביציאה,5
75,2015,1,לא ידוע קוד 6500,איחור,4
76,2015,1,לא ידוע קוד 6500,בזמן,129
77,2015,1,לא ידוע קוד 6500,הקדמה ביציאה,43
78,2015,1,לא ידוע קוד 6700,איחור,9
79,2015,1,לא ידוע קוד 6700,בזמן,306
80,2015,1,לא ידוע קוד 800,איחור,123
81,2015,1,לא ידוע קוד 800,בזמן,1950
82,2015,1,לא ידוע קוד 800,הקדמה ביציאה,984
83,2015,1,להבים רהט,איחור,39
84,2015,1,להבים רהט,בזמן,825
85,2015,1,להבים רהט,הקדמה ביציאה,32
86,2015,1,לוד,איחור,147
87,2015,1,לוד,בזמן,3606
88,2015,1,לוד,הקדמה ביציאה,78
89,2015,1,לוד גני אביב,איחור,21
90,2015,1,לוד גני אביב,בזמן,440
91,2015,1,לוד גני אביב,הקדמה ביציאה,332
92,2015,1,מודיעין מרכז,איחור,36
93,2015,1,מודיעין מרכז,בזמן,1432
94,2015,1,מודיעין מרכז,הקדמה ביציאה,1
95,2015,1,מרכזית המפרץ/קו החוף,איחור,113
96,2015,1,מרכזית המפרץ/קו החוף,בזמן,2199
97,2015,1,מרכזית המפרץ/קו החוף,הקדמה ביציאה,550
98,2015,1,נהריה,איחור,89
99,2015,1,נהריה,בזמן,2011
100,2015,1,נהריה,הקדמה ביציאה,1
101,2015,1,"נתב""ג",איחור,61
102,2015,1,"נתב""ג",בזמן,1628
103,2015,1,"נתב""ג",הקדמה ביציאה,201
104,2015,1,נתניה,איחור,87
105,2015,1,נתניה,בזמן,2040
106,2015,1,נתניה,הקדמה ביציאה,145
107,2015,1,סגולה,איחור,15
108,2015,1,סגולה,בזמן,1679
109,2015,1,סגולה,הקדמה ביציאה,3
110,2015,1,עכו,איחור,107
111,2015,1,עכו,בזמן,2262
112,2015,1,עכו,הקדמה ביציאה,193
113,2015,1,עתלית,איחור,40
114,2015,1,עתלית,בזמן,600
115,2015,1,עתלית,הקדמה ביציאה,161
116,2015,1,פאתי מודיעין,איחור,35
117,2015,1,פאתי מודיעין,בזמן,1274
118,2015,1,פאתי מודיעין,הקדמה ביציאה,252
119,2015,1,צומת חולון,איחור,20
120,2015,1,צומת חולון,בזמן,1126
121,2015,1,צומת חולון,הקדמה ביציאה,65
122,2015,1,קיסריה פרדס חנה,איחור,60
123,2015,1,קיסריה פרדס חנה,בזמן,840
124,2015,1,קיסריה פרדס חנה,הקדמה ביציאה,171
125,2015,1,קרית אריה,איחור,63
126,2015,1,קרית אריה,בזמן,12
127,2015,1,קרית אריה,הקדמה ביציאה,924
128,2015,1,קרית גת,איחור,53
129,2015,1,קרית גת,בזמן,1095
130,2015,1,קרית גת,הקדמה ביציאה,14
131,2015,1,קרית חיים,איחור,79
132,2015,1,קרית חיים,בזמן,1303
133,2015,1,קרית חיים,הקדמה ביציאה,401
134,2015,1,ראש העין צפון,איחור,20
135,2015,1,ראש העין צפון,בזמן,1615
136,2015,1,ראש העין צפון,הקדמה ביציאה,5
137,2015,1,ראשונים,איחור,13
138,2015,1,ראשונים,בזמן,669
139,2015,1,ראשונים,הקדמה ביציאה,1
140,2015,1,רחובות,איחור,37
141,2015,1,רחובות,בזמן,1328
142,2015,1,רחובות,הקדמה ביציאה,45
143,2015,1,רמלה,איחור,81
144,2015,1,רמלה,בזמן,553
145,2015,1,רמלה,הקדמה ביציאה,698
146,2015,1,"רשל""צ משה דיין",איחור,26
147,2015,1,"רשל""צ משה דיין",בזמן,1427
148,2015,1,"רשל""צ משה דיין",הקדמה ביציאה,3
149,2015,1,שדרות,איחור,10
150,2015,1,שדרות,בזמן,933
151,2015,1,שדרות,הקדמה ביציאה,26
152,2015,1,תא אוניברסיטה,איחור,260
153,2015,1,תא אוניברסיטה,בזמן,5942
154,2015,1,תא אוניברסיטה,הקדמה ביציאה,254
155,2015,1,תל אביב ההגנה,איחור,278
156,2015,1,תל אביב ההגנה,בזמן,6504
157,2015,1,תל אביב ההגנה,הקדמה ביציאה,366
158,2015,1,תל אביב מרכז,איחור,368
159,2015,1,תל אביב מרכז,בזמן,5577
160,2015,1,תל אביב מרכז,הקדמה ביציאה,883
161,2015,2,אשדוד עד הלום,איחור,15
162,2015,2,אשדוד עד הלום,בזמן,1604
163,2015,2,אשדוד עד הלום,הקדמה ביציאה,16
164,2015,2,אשקלון,איחור,12
165,2015,2,אשקלון,בזמן,1824
166,2015,2,אשקלון,הקדמה ביציאה,6
167,2015,2,באר יעקב,איחור,16
168,2015,2,באר יעקב,בזמן,1024
169,2015,2,באר יעקב,הקדמה ביציאה,21
170,2015,2,באר שבע מרכז,איחור,26
171,2015,2,באר שבע מרכז,בזמן,1008
172,2015,2,באר שבע צפון,איחור,38
173,2015,2,באר שבע צפון,בזמן,1045
174,2015,2,באר שבע צפון,הקדמה ביציאה,31
175,2015,2,בית יהושע,איחור,49
176,2015,2,בית יהושע,בזמן,1751
177,2015,2,בית יהושע,הקדמה ביציאה,58
178,2015,2,בית שמש,איחור,58
179,2015,2,בית שמש,בזמן,377
180,2015,2,בית שמש,הקדמה ביציאה,9
181,2015,2,בני ברק,איחור,14
182,2015,2,בני ברק,בזמן,1409
183,2015,2,בני ברק,הקדמה ביציאה,100
184,2015,2,בנימינה,איחור,107
185,2015,2,בנימינה,בזמן,1917
186,2015,2,בנימינה,הקדמה ביציאה,324
187,2015,2,בת גלים,איחור,96
188,2015,2,בת גלים,בזמן,2817
189,2015,2,בת גלים,הקדמה ביציאה,228
190,2015,2,בת ים יוספטל,איחור,11
191,2015,2,בת ים יוספטל,בזמן,964
192,2015,2,בת ים יוספטל,הקדמה ביציאה,44
193,2015,2,בת ים קוממיות,איחור,11
194,2015,2,בת ים קוממיות,בזמן,1073
195,2015,2,בת ים קוממיות,הקדמה ביציאה,4
196,2015,2,דימונה,איחור,3
197,2015,2,דימונה,בזמן,104
198,2015,2,הוד השרון,איחור,10
199,2015,2,הוד השרון,בזמן,1070
200,2015,2,הרצליה,איחור,102
201,2015,2,הרצליה,בזמן,2206
202,2015,2,הרצליה,הקדמה ביציאה,118
203,2015,2,השלום,איחור,216
204,2015,2,השלום,בזמן,5835
205,2015,2,השלום,הקדמה ביציאה,325
206,2015,2,חדרה מערב,איחור,55
207,2015,2,חדרה מערב,בזמן,1090
208,2015,2,חדרה מערב,הקדמה ביציאה,148
209,2015,2,חולון וולפסון,איחור,11
210,2015,2,חולון וולפסון,בזמן,1165
211,2015,2,חולון וולפסון,הקדמה ביציאה,3
212,2015,2,חוף הכרמל,איחור,115
213,2015,2,חוף הכרמל,בזמן,2819
214,2015,2,חוף הכרמל,הקדמה ביציאה,281
215,2015,2,חוצות מפרץ,איחור,30
216,2015,2,חוצות מפרץ,בזמן,1045
217,2015,2,חוצות מפרץ,הקדמה ביציאה,77
218,2015,2,חיפה מרכז,איחור,106
219,2015,2,חיפה מרכז,בזמן,3000
220,2015,2,חיפה מרכז,הקדמה ביציאה,257
221,2015,2,יבנה מזרח,איחור,11
222,2015,2,יבנה מזרח,בזמן,320
223,2015,2,יבנה מזרח,הקדמה ביציאה,280
224,2015,2,יבנה מערב,איחור,8
225,2015,2,יבנה מערב,בזמן,935
226,2015,2,יבנה מערב,הקדמה ביציאה,14
227,2015,2,כפר חבד,איחור,12
228,2015,2,כפר חבד,בזמן,663
229,2015,2,כפר חבד,הקדמה ביציאה,5
230,2015,2,כפר סבא,איחור,12
231,2015,2,כפר סבא,בזמן,1522
232,2015,2,כפר סבא,הקדמה ביציאה,1
233,2015,2,לא ידוע קוד 6500,איחור,7
234,2015,2,לא ידוע קוד 6500,בזמן,128
235,2015,2,לא ידוע קוד 6500,הקדמה ביציאה,50
236,2015,2,לא ידוע קוד 6700,איחור,15
237,2015,2,לא ידוע קוד 6700,בזמן,318
238,2015,2,לא ידוע קוד 6700,הקדמה ביציאה,1
239,2015,2,לא ידוע קוד 800,איחור,62
240,2015,2,לא ידוע קוד 800,בזמן,1802
241,2015,2,לא ידוע קוד 800,הקדמה ביציאה,889
242,2015,2,להבים רהט,איחור,23
243,2015,2,להבים רהט,בזמן,700
244,2015,2,להבים רהט,הקדמה ביציאה,24
245,2015,2,לוד,איחור,106
246,2015,2,לוד,בזמן,3321
247,2015,2,לוד,הקדמה ביציאה,58
248,2015,2,לוד גני אביב,איחור,19
249,2015,2,לוד גני אביב,בזמן,432
250,2015,2,לוד גני אביב,הקדמה ביציאה,266
251,2015,2,מודיעין מרכז,איחור,20
252,2015,2,מודיעין מרכז,בזמן,1411
253,2015,2,מרכזית המפרץ/קו החוף,איחור,62
254,2015,2,מרכזית המפרץ/קו החוף,בזמן,1938
255,2015,2,מרכזית המפרץ/קו החוף,הקדמה ביציאה,572
256,2015,2,נהריה,איחור,39
257,2015,2,נהריה,בזמן,1874
258,2015,2,נהריה,הקדמה ביציאה,20
259,2015,2,"נתב""ג",איחור,42
260,2015,2,"נתב""ג",בזמן,1504
261,2015,2,"נתב""ג",הקדמה ביציאה,197
262,2015,2,נתיבות,איחור,5
263,2015,2,נתיבות,בזמן,332
264,2015,2,נתניה,איחור,53
265,2015,2,נתניה,בזמן,1889
266,2015,2,נתניה,הקדמה ביציאה,141
267,2015,2,סגולה,איחור,12
268,2015,2,סגולה,בזמן,1575
269,2015,2,סגולה,הקדמה ביציאה,5
270,2015,2,עכו,איחור,62
271,2015,2,עכו,בזמן,2108
272,2015,2,עכו,הקדמה ביציאה,189
273,2015,2,עתלית,איחור,24
274,2015,2,עתלית,בזמן,541
275,2015,2,עתלית,הקדמה ביציאה,163
276,2015,2,פאתי מודיעין,איחור,20
277,2015,2,פאתי מודיעין,בזמן,1204
278,2015,2,פאתי מודיעין,הקדמה ביציאה,255
279,2015,2,צומת חולון,איחור,12
280,2015,2,צומת חולון,בזמן,1093
281,2015,2,צומת חולון,הקדמה ביציאה,48
282,2015,2,קיסריה פרדס חנה,איחור,42
283,2015,2,קיסריה פרדס חנה,בזמן,803
284,2015,2,קיסריה פרדס חנה,הקדמה ביציאה,132
285,2015,2,קרית אריה,איחור,40
286,2015,2,קרית אריה,בזמן,12
287,2015,2,קרית אריה,הקדמה ביציאה,865
288,2015,2,קרית גת,איחור,31
289,2015,2,קרית גת,בזמן,969
290,2015,2,קרית גת,הקדמה ביציאה,17
291,2015,2,קרית חיים,איחור,37
292,2015,2,קרית חיים,בזמן,1182
293,2015,2,קרית חיים,הקדמה ביציאה,398
294,2015,2,ראש העין צפון,איחור,14
295,2015,2,ראש העין צפון,בזמן,1524
296,2015,2,ראש העין צפון,הקדמה ביציאה,4
297,2015,2,ראשונים,איחור,8
298,2015,2,ראשונים,בזמן,591
299,2015,2,רחובות,איחור,26
300,2015,2,רחובות,בזמן,1272
301,2015,2,רחובות,הקדמה ביציאה,54
302,2015,2,רמלה,איחור,60
303,2015,2,רמלה,בזמן,562
304,2015,2,רמלה,הקדמה ביציאה,577
305,2015,2,"רשל""צ משה דיין",איחור,11
306,2015,2,"רשל""צ משה דיין",בזמן,1364
307,2015,2,"רשל""צ משה דיין",הקדמה ביציאה,2
308,2015,2,שדרות,איחור,6
309,2015,2,שדרות,בזמן,870
310,2015,2,שדרות,הקדמה ביציאה,7
311,2015,2,תא אוניברסיטה,איחור,164
312,2015,2,תא אוניברסיטה,בזמן,5541
313,2015,2,תא אוניברסיטה,הקדמה ביציאה,265
314,2015,2,תל אביב ההגנה,איחור,193
315,2015,2,תל אביב ההגנה,בזמן,6121
316,2015,2,תל אביב ההגנה,הקדמה ביציאה,331
317,2015,2,תל אביב מרכז,איחור,260
318,2015,2,תל אביב מרכז,בזמן,5239
319,2015,2,תל אביב מרכז,הקדמה ביציאה,834
320,2015,3,אשדוד עד הלום,איחור,20
321,2015,3,אשדוד עד הלום,בזמן,1773
322,2015,3,אשדוד עד הלום,הקדמה ביציאה,15
323,2015,3,אשקלון,איחור,18
324,2015,3,אשקלון,בזמן,1966
325,2015,3,אשקלון,הקדמה ביציאה,12
326,2015,3,באר יעקב,איחור,22
327,2015,3,באר יעקב,בזמן,1132
328,2015,3,באר יעקב,הקדמה ביציאה,26
329,2015,3,באר שבע מרכז,איחור,42
330,2015,3,באר שבע מרכז,בזמן,1160
331,2015,3,באר שבע צפון,איחור,49
332,2015,3,באר שבע צפון,בזמן,1212
333,2015,3,באר שבע צפון,הקדמה ביציאה,57
334,2015,3,בית יהושע,איחור,48
335,2015,3,בית יהושע,בזמן,1986
336,2015,3,בית יהושע,הקדמה ביציאה,57
337,2015,3,בית שמש,איחור,38
338,2015,3,בית שמש,בזמן,470
339,2015,3,בית שמש,הקדמה ביציאה,13
340,2015,3,בני ברק,איחור,20
341,2015,3,בני ברק,בזמן,1505
342,2015,3,בני ברק,הקדמה ביציאה,97
343,2015,3,בנימינה,איחור,90
344,2015,3,בנימינה,בזמן,2224
345,2015,3,בנימינה,הקדמה ביציאה,406
346,2015,3,בת גלים,איחור,71
347,2015,3,בת גלים,בזמן,3139
348,2015,3,בת גלים,הקדמה ביציאה,316
349,2015,3,בת ים יוספטל,איחור,14
350,2015,3,בת ים יוספטל,בזמן,990
351,2015,3,בת ים יוספטל,הקדמה ביציאה,58
352,2015,3,בת ים קוממיות,איחור,14
353,2015,3,בת ים קוממיות,בזמן,1173
354,2015,3,בת ים קוממיות,הקדמה ביציאה,4
355,2015,3,דימונה,איחור,2
356,2015,3,דימונה,בזמן,117
357,2015,3,הוד השרון,איחור,13
358,2015,3,הוד השרון,בזמן,1131
359,2015,3,הרצליה,איחור,91
360,2015,3,הרצליה,בזמן,2527
361,2015,3,הרצליה,הקדמה ביציאה,123
362,2015,3,השלום,איחור,203
363,2015,3,השלום,בזמן,6446
364,2015,3,השלום,הקדמה ביציאה,409
365,2015,3,חדרה מערב,איחור,49
366,2015,3,חדרה מערב,בזמן,1241
367,2015,3,חדרה מערב,הקדמה ביציאה,165
368,2015,3,חולון וולפסון,איחור,13
369,2015,3,חולון וולפסון,בזמן,1223
370,2015,3,חולון וולפסון,הקדמה ביציאה,4
371,2015,3,חוף הכרמל,איחור,99
372,2015,3,חוף הכרמל,בזמן,3108
373,2015,3,חוף הכרמל,הקדמה ביציאה,415
374,2015,3,חוצות מפרץ,איחור,15
375,2015,3,חוצות מפרץ,בזמן,1204
376,2015,3,חוצות מפרץ,הקדמה ביציאה,134
377,2015,3,חיפה מרכז,איחור,96
378,2015,3,חיפה מרכז,בזמן,3351
379,2015,3,חיפה מרכז,הקדמה ביציאה,302
380,2015,3,יבנה מזרח,איחור,12
381,2015,3,יבנה מזרח,בזמן,324
382,2015,3,יבנה מזרח,הקדמה ביציאה,312
383,2015,3,יבנה מערב,איחור,14
384,2015,3,יבנה מערב,בזמן,1009
385,2015,3,יבנה מערב,הקדמה ביציאה,20
386,2015,3,כפר חבד,איחור,18
387,2015,3,כפר חבד,בזמן,745
388,2015,3,כפר חבד,הקדמה ביציאה,6
389,2015,3,כפר סבא,איחור,19
390,2015,3,כפר סבא,בזמן,1632
391,2015,3,כפר סבא,הקדמה ביציאה,6
392,2015,3,לא ידוע קוד 6500,איחור,3
393,2015,3,לא ידוע קוד 6500,בזמן,157
394,2015,3,לא ידוע קוד 6500,הקדמה ביציאה,45
395,2015,3,לא ידוע קוד 6700,איחור,8
396,2015,3,לא ידוע קוד 6700,בזמן,357
397,2015,3,לא ידוע קוד 6700,הקדמה ביציאה,1
398,2015,3,לא ידוע קוד 800,איחור,46
399,2015,3,לא ידוע קוד 800,בזמן,1949
400,2015,3,לא ידוע קוד 800,הקדמה ביציאה,1059
401,2015,3,להבים רהט,איחור,33
402,2015,3,להבים רהט,בזמן,793
403,2015,3,להבים רהט,הקדמה ביציאה,63
404,2015,3,לוד,איחור,121
405,2015,3,לוד,בזמן,3768
406,2015,3,לוד,הקדמה ביציאה,100
407,2015,3,לוד גני אביב,איחור,21
408,2015,3,לוד גני אביב,בזמן,447
409,2015,3,לוד גני אביב,הקדמה ביציאה,365
410,2015,3,מודיעין מרכז,איחור,20
411,2015,3,מודיעין מרכז,בזמן,1545
412,2015,3,מרכזית המפרץ/קו החוף,איחור,39
413,2015,3,מרכזית המפרץ/קו החוף,בזמן,2093
414,2015,3,מרכזית המפרץ/קו החוף,הקדמה ביציאה,731
415,2015,3,נהריה,איחור,28
416,2015,3,נהריה,בזמן,2081
417,2015,3,נהריה,הקדמה ביציאה,1
418,2015,3,"נתב""ג",איחור,39
419,2015,3,"נתב""ג",בזמן,1646
420,2015,3,"נתב""ג",הקדמה ביציאה,247
421,2015,3,נתיבות,איחור,4
422,2015,3,נתיבות,בזמן,788
423,2015,3,נתניה,איחור,52
424,2015,3,נתניה,בזמן,2180
425,2015,3,נתניה,הקדמה ביציאה,143
426,2015,3,סגולה,איחור,14
427,2015,3,סגולה,בזמן,1706
428,2015,3,סגולה,הקדמה ביציאה,5
429,2015,3,עכו,איחור,41
430,2015,3,עכו,בזמן,2343
431,2015,3,עכו,הקדמה ביציאה,203
432,2015,3,עתלית,איחור,14
433,2015,3,עתלית,בזמן,604
434,2015,3,עתלית,הקדמה ביציאה,216
435,2015,3,פאתי מודיעין,איחור,19
436,2015,3,פאתי מודיעין,בזמן,1291
437,2015,3,פאתי מודיעין,הקדמה ביציאה,310
438,2015,3,צומת חולון,איחור,14
439,2015,3,צומת חולון,בזמן,1157
440,2015,3,צומת חולון,הקדמה ביציאה,56
441,2015,3,קיסריה פרדס חנה,איחור,31
442,2015,3,קיסריה פרדס חנה,בזמן,904
443,2015,3,קיסריה פרדס חנה,הקדמה ביציאה,168
444,2015,3,קרית אריה,איחור,66
445,2015,3,קרית אריה,בזמן,10
446,2015,3,קרית אריה,הקדמה ביציאה,956
447,2015,3,קרית גת,איחור,36
448,2015,3,קרית גת,בזמן,1111
449,2015,3,קרית גת,הקדמה ביציאה,43
450,2015,3,קרית חיים,איחור,31
451,2015,3,קרית חיים,בזמן,1302
452,2015,3,קרית חיים,הקדמה ביציאה,533
453,2015,3,ראש העין צפון,איחור,15
454,2015,3,ראש העין צפון,בזמן,1629
455,2015,3,ראש העין צפון,הקדמה ביציאה,4
456,2015,3,ראשונים,איחור,13
457,2015,3,ראשונים,בזמן,665
458,2015,3,ראשונים,הקדמה ביציאה,1
459,2015,3,רחובות,איחור,28
460,2015,3,רחובות,בזמן,1419
461,2015,3,רחובות,הקדמה ביציאה,62
462,2015,3,רמלה,איחור,60
463,2015,3,רמלה,בזמן,605
464,2015,3,רמלה,הקדמה ביציאה,727
465,2015,3,"רשל""צ משה דיין",איחור,21
466,2015,3,"רשל""צ משה דיין",בזמן,1463
467,2015,3,"רשל""צ משה דיין",הקדמה ביציאה,2
468,2015,3,שדרות,איחור,4
469,2015,3,שדרות,בזמן,946
470,2015,3,שדרות,הקדמה ביציאה,4
471,2015,3,תא אוניברסיטה,איחור,153
472,2015,3,תא אוניברסיטה,בזמן,6204
473,2015,3,תא אוניברסיטה,הקדמה ביציאה,337
474,2015,3,תל אביב ההגנה,איחור,187
475,2015,3,תל אביב ההגנה,בזמן,6737
476,2015,3,תל אביב ההגנה,הקדמה ביציאה,436
477,2015,3,תל אביב מרכז,איחור,243
478,2015,3,תל אביב מרכז,בזמן,5837
479,2015,3,תל אביב מרכז,הקדמה ביציאה,977
480,2015,4,אשדוד עד הלום,איחור,19
481,2015,4,אשדוד עד הלום,בזמן,1587
482,2015,4,אשדוד עד הלום,הקדמה ביציאה,25
483,2015,4,אשקלון,איחור,23
484,2015,4,אשקלון,בזמן,1751
485,2015,4,אשקלון,הקדמה ביציאה,7
486,2015,4,באר יעקב,איחור,16
487,2015,4,באר יעקב,בזמן,1042
488,2015,4,באר יעקב,הקדמה ביציאה,21
489,2015,4,באר שבע מרכז,איחור,45
490,2015,4,באר שבע מרכז,בזמן,1078
491,2015,4,באר שבע מרכז,הקדמה ביציאה,1
492,2015,4,באר שבע צפון,איחור,66
493,2015,4,באר שבע צפון,בזמן,1080
494,2015,4,באר שבע צפון,הקדמה ביציאה,71
495,2015,4,בית יהושע,איחור,45
496,2015,4,בית יהושע,בזמן,1757
497,2015,4,בית יהושע,הקדמה ביציאה,41
498,2015,4,בית שמש,איחור,57
499,2015,4,בית שמש,בזמן,424
500,2015,4,בית שמש,הקדמה ביציאה,23
501,2015,4,בני ברק,איחור,23
502,2015,4,בני ברק,בזמן,1385
503,2015,4,בני ברק,הקדמה ביציאה,93
504,2015,4,בנימינה,איחור,118
505,2015,4,בנימינה,בזמן,1877
506,2015,4,בנימינה,הקדמה ביציאה,337
507,2015,4,בת גלים,איחור,113
508,2015,4,בת גלים,בזמן,2594
509,2015,4,בת גלים,הקדמה ביציאה,356
510,2015,4,בת ים יוספטל,איחור,16
511,2015,4,בת ים יוספטל,בזמן,917
512,2015,4,בת ים יוספטל,הקדמה ביציאה,56
513,2015,4,בת ים קוממיות,איחור,18
514,2015,4,בת ים קוממיות,בזמן,1064
515,2015,4,בת ים קוממיות,הקדמה ביציאה,7
516,2015,4,דימונה,איחור,8
517,2015,4,דימונה,בזמן,104
518,2015,4,דימונה,הקדמה ביציאה,1
519,2015,4,הוד השרון,איחור,28
520,2015,4,הוד השרון,בזמן,1028
521,2015,4,הרצליה,איחור,97
522,2015,4,הרצליה,בזמן,2233
523,2015,4,הרצליה,הקדמה ביציאה,82
524,2015,4,השלום,איחור,245
525,2015,4,השלום,בזמן,5767
526,2015,4,השלום,הקדמה ביציאה,400
527,2015,4,חדרה מערב,איחור,51
528,2015,4,חדרה מערב,בזמן,1089
529,2015,4,חדרה מערב,הקדמה ביציאה,107
530,2015,4,חולון וולפסון,איחור,17
531,2015,4,חולון וולפסון,בזמן,1135
532,2015,4,חולון וולפסון,הקדמה ביציאה,3
533,2015,4,חוף הכרמל,איחור,131
534,2015,4,חוף הכרמל,בזמן,2603
535,2015,4,חוף הכרמל,הקדמה ביציאה,374
536,2015,4,חוצות מפרץ,איחור,34
537,2015,4,חוצות מפרץ,בזמן,1001
538,2015,4,חוצות מפרץ,הקדמה ביציאה,145
539,2015,4,חיפה מרכז,איחור,132
540,2015,4,חיפה מרכז,בזמן,2768
541,2015,4,חיפה מרכז,הקדמה ביציאה,314
542,2015,4,יבנה מזרח,איחור,7
543,2015,4,יבנה מזרח,בזמן,295
544,2015,4,יבנה מזרח,הקדמה ביציאה,248
545,2015,4,יבנה מערב,איחור,14
546,2015,4,יבנה מערב,בזמן,918
547,2015,4,יבנה מערב,הקדמה ביציאה,14
548,2015,4,כפר חבד,איחור,15
549,2015,4,כפר חבד,בזמן,709
550,2015,4,כפר חבד,הקדמה ביציאה,5
551,2015,4,כפר סבא,איחור,34
552,2015,4,כפר סבא,בזמן,1464
553,2015,4,כפר סבא,הקדמה ביציאה,10
554,2015,4,לא ידוע קוד 6500,איחור,8
555,2015,4,לא ידוע קוד 6500,בזמן,154
556,2015,4,לא ידוע קוד 6500,הקדמה ביציאה,48
557,2015,4,לא ידוע קוד 6700,איחור,27
558,2015,4,לא ידוע קוד 6700,בזמן,337
559,2015,4,לא ידוע קוד 800,איחור,84
560,2015,4,לא ידוע קוד 800,בזמן,1672
561,2015,4,לא ידוע קוד 800,הקדמה ביציאה,798
562,2015,4,להבים רהט,איחור,38
563,2015,4,להבים רהט,בזמן,721
564,2015,4,להבים רהט,הקדמה ביציאה,68
565,2015,4,לוד,איחור,130
566,2015,4,לוד,בזמן,3434
567,2015,4,לוד,הקדמה ביציאה,107
568,2015,4,לוד גני אביב,איחור,16
569,2015,4,לוד גני אביב,בזמן,444
570,2015,4,לוד גני אביב,הקדמה ביציאה,322
571,2015,4,מודיעין מרכז,איחור,15
572,2015,4,מודיעין מרכז,בזמן,1371
573,2015,4,מרכזית המפרץ/קו החוף,איחור,75
574,2015,4,מרכזית המפרץ/קו החוף,בזמן,1673
575,2015,4,מרכזית המפרץ/קו החוף,הקדמה ביציאה,675
576,2015,4,נהריה,איחור,53
577,2015,4,נהריה,בזמן,1776
578,2015,4,"נתב""ג",איחור,48
579,2015,4,"נתב""ג",בזמן,1396
580,2015,4,"נתב""ג",הקדמה ביציאה,227
581,2015,4,נתיבות,איחור,3
582,2015,4,נתיבות,בזמן,731
583,2015,4,נתניה,איחור,55
584,2015,4,נתניה,בזמן,1922
585,2015,4,נתניה,הקדמה ביציאה,87
586,2015,4,סגולה,איחור,22
587,2015,4,סגולה,בזמן,1542
